"settlements","nb_cluster","district","lhz"
"aliheley","1","borama","westgolis"
"aroorseel","2","borama","westgolis"
"cabaasa","3","borama","westgolis"
"dixgudban","6","borama","westgolis"
"gorgoray","7","borama","westgolis"
"qotonqardhiile","8","baki","westgolis"
"wajiwayn","9","baki","westgolis"
"xamartadurdurcad","10","borama","westgolis"
"xariirad","RC","borama","westgolis"
"huddisa","11","sheikh","westgolis"
"agabar","13","gebiley","westgolis"
"balligacas","14","hargeysa","westgolis"
"booclay","15","hargeysa","westgolis"
"darasalaam","17","hargeysa","westgolis"
"dhaymoole","18","berbera","westgolis"
"dhubato","19","hargeysa","westgolis"
"gacan","20","hargeysa","westgolis"
"geeddeeble","RC","hargeysa","westgolis"
"hadhley","21","gebiley","westgolis"
"illintadhexe","22","hargeysa","westgolis"
"laasciidle","23","berbera","westgolis"
"lafaruug","24","berbera","westgolis"
"maluugta","RC","hargeysa","westgolis"
"qururuxley","25","hargeysa","westgolis"
"saclamood","26","gebiley","westgolis"
"xumbaweyne","28","hargeysa","westgolis"
