"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
1841,2013,1,27,SO,Somalia,Banadir,Banadir,"Mogadishu, Radaar IDP Camp",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Combat/Crossfire,"Project site",2.056278,45.300605,Unknown,Unknown,Unknown,"One INGO security guard was injured when a shooting broke out in front of a medical health facility managed by the INGO.",Yes,"Official Report"
1701,2013,2,16,SO,Somalia,"Lower Juba",Kismayo,Kismayo,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,"Public location",-0.360445,42.548779,Incidental,"Police or paramilitary","Somaliland Rapid Response Unit (RRU)","One local NGO staff member was shot and killed by local police forces at a police station in Kismayo. The individual was injured but later died of his injuries.",Yes,"Official Report"
1842,2013,2,18,SO,Somalia,Gedo,Baardheere,Baardheere,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Combat/Crossfire,Unknown,2.333333,42.283333,Political,"Non-state armed group: Regional","Al Shabaab","One LNGO manager was wounded during clashes between two groups of Al Shabaab fighters. The clash was reportedly triggered by a dispute over the continuation of the LNGO's activities.",Yes,"Official Report"
1410,2013,4,14,SO,Somalia,Banadir,Banadir,Mogadishu,0,0,0,4,0,0,1,0,0,1,0,3,0,3,1,3,0,4,4,0,0,"Vehicle-born IED",Combat/Crossfire,Road,2.020684,45.304072,Incidental,"Non-state armed group: Unknown","Not applicable","A national driver for a third country Red Crescent Society was killed and three international staff wounded in Mogadishu when a suicide car bomb targeting government court buildings detonated as their convoy passed by.
",Yes,Media
1843,2013,5,25,SO,Somalia,Banadir,Banadir,"Mogadishu, Medina, Banaadir Junction",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shooting,Combat/Crossfire,"Public location",2.021074,45.288353,Incidental,"Host State","Somali Armed Forces","One INGO employee was killed during clashes between two groups of Somali National Government (SNG) forces.",Yes,"Official Report"
1446,2013,6,19,SO,Somalia,Banadir,Banadir,Mogadishu,13,0,0,0,0,0,5,5,0,10,3,0,0,3,8,5,0,13,12,1,0,"Complex attack",Raid,Office/compound,2.043557,45.314087,Political,"Non-state armed group: Regional","Al Shabaab","One UN staffer, 3 UN contractors, and 4 guards were killed during a complex attack, when a VBIED rammed the UN's external gate and was simultaneously detonated. Seven assailants entered the compound on foot, tossing hand grenades in the process. Another UN staffer and 4 other guards were also injured.",Yes,"Official Report"
1836,2013,6,29,SO,Somalia,"Lower Juba",Kismayo,Kismayo,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shelling,Combat/Crossfire,"Public location",-0.358216,42.545087,Incidental,"Non-state armed group: Subnational",Clan,"One INGO nurse was killed by a stray mortar during clashes between clan militias. The nurse was assisting the wounded at the time of the attack.",Yes,"Official Report"
1706,2013,7,4,SO,Somalia,"Woqooyi Galbeed",Hargeisa,Hargeisa,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack",Road,9.55012,44.066165,Unknown,Unknown,Unknown,"One INGO national staff member was attacked by a gang and suffered a knife wound to the hand.",Yes,"Focal Point"
1850,2013,7,12,SO,Somalia,Bari,Bosaso,Kalabeyr,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Combat/Crossfire,"Public location",10.828468,49.252965,Incidental,"Non-state armed group: Subnational",Clan,"One INGO staff member was injured when shooting broke out during what seems to have been an inter-clan attack.",Yes,"Official Report"
1517,2013,7,23,SO,Somalia,Mudug,Gaalkacyo,Garsoor,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack","Public location",6.769623,47.430615,Unknown,Unknown,Unknown,"A senior leader of a local NGO was shot dead by two masked gunmen shortly as he left Imamu-Shafici mosque in Garsor village of Galkayo.",Yes,Media
1844,2013,7,31,SO,Somalia,Banadir,Banadir,"Mogadishu, Jaale Siyad Military Academy area",0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Shooting,Ambush,Road,2.045742,45.302612,Incidental,"Host State","Somali Armed Forces","Two LNGO staff were injured when Somali National Government (SNG) forces opened fire on the LNGO vehicle, allegedly because the vehicle did not stop when ordered to do so. The two staff were taken to a hospital.",Yes,"Official Report"
1741,2013,9,1,SO,Somalia,Banadir,Banadir,"Mogadishu, seaport",2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,Shooting,Combat/Crossfire,"Public location",2.026156,45.331465,Unknown,"Police or paramilitary",Police,"Two UN-contracted employees were shot and wounded by police as they were trying to enter the seaport.",Yes,"Focal Point"
1851,2013,9,7,SO,Somalia,Banadir,Banadir,"Mogadishu, near Village Restaurant",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Body-borne IED",Combat/Crossfire,"Public location",2.032836,45.33976,Incidental,"Non-state armed group: Regional","Al Shabaab","An INGO guard was wounded during an Al Shabaab attack.",Yes,"Official Report"
1688,2013,9,22,SO,Somalia,Sanaag,Erigavo,Erigavo,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Mob violence","Project site",10.616478,47.366652,Economic,"Aid recipient",Refugees,"One INGO staff member was attacked by refugees, who were upset about the lack of food. The staff member sufferred a broken nose.",Yes,"Focal Point"
1845,2013,10,22,SO,Somalia,Mudug,Gaalkacyo,Gaalkacyo,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,"Individual attack",Unknown,6.766627,47.429627,Incidental,Unknown,Unknown,"An INGO security guard was shot and injured by an unknown armed man. The attack may have been connected to an inter-clan dispute.",Yes,"Official Report"
1838,2013,11,17,SO,Somalia,"Lower Shabelle",Marka,"Marka, Buula Jan",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack",Unknown,1.717466,44.768614,Incidental,"Non-state armed group: Unknown","Not applicable","One INGO national staff member working at Marka General Hospital was shot and killed by unknown armed militia. The incident was reportedly related to clan revenge.",Yes,"Official Report"
1846,2013,11,26,SO,Somalia,Bay,Baydhaba,"Baydhaba, near Baydhaba police headquarters",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,"Individual attack","Public location",3.117687,43.644197,Economic,"Host State","Somali Armed Forces","An INGO security guard was shot and wounded by a member of the Somali National Government forces. The attack appears to be related to a dispute over INGO employment.",Yes,"Official Report"
1847,2013,12,7,SO,Somalia,Bay,Baydhaba,"Baydhaba, Berdale neighborhood, Boqoley market",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack","Public location",2.983244,44.283339,Unknown,Unknown,Unknown,"An INGO-contracted driver was shot and kiled by an unidentified gunman.",Yes,"Official Report"
1852,2013,12,29,SO,Somalia,"Lower Juba",Afmadow,"Between Tabta and Bilis Qooqaani",0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,5,Kidnapping,Ambush,Road,0.645158,41.560769,Unknown,"Non-state armed group: Unknown","Not applicable","Five local NGO staff members were abducted by unidentified gunmen.",Yes,"Official Report"
1633,2014,1,3,SO,Somalia,Bay,"Buur Hakaba","Buur Hakaba, Liimaale",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,2.795825,44.077254,Political,"Non-state armed group: Regional","Al Shabaab","A national polio worker contracted by the UN was abducted by suspected Al Shabaab near Buur Hakaba. It appears that Al Shabaab believed those associated with the polio campaign to be spies.",Yes,"Official Report"
1645,2014,1,25,SO,Somalia,Mudug,Gaalkacyo,Gaalkacyo,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Ambush,Road,6.769709,47.430831,Unknown,Unknown,Unknown,"The director of a local NGO was shot by unknown individuals while on his way home.",Yes,Media
